"split","fold","threshold","specificity","sensitivity","fpr","tpr"
"training","overall",-Inf,0,1,1,1
"training","overall",0.0248546256362922,0.00359712230215827,1,0.996402877697842,1
"training","overall",0.0283955390190959,0.00719424460431655,1,0.992805755395683,1
"training","overall",0.0303265006350115,0.0107913669064748,1,0.989208633093525,1
"training","overall",0.0322451622563779,0.0143884892086331,1,0.985611510791367,1
"training","overall",0.0323873794611646,0.0179856115107914,1,0.982014388489209,1
"training","overall",0.0333157394756057,0.0215827338129496,1,0.97841726618705,1
"training","overall",0.0350999387187167,0.0251798561151079,1,0.974820143884892,1
"training","overall",0.0367516582949603,0.0287769784172662,1,0.971223021582734,1
"training","overall",0.0377540225242506,0.0323741007194245,1,0.967625899280576,1
"training","overall",0.0384254965863015,0.0359712230215827,1,0.964028776978417,1
"training","overall",0.0391850553185533,0.039568345323741,1,0.960431654676259,1
"training","overall",0.04008533348751,0.0431654676258993,1,0.956834532374101,1
"training","overall",0.0410490696935131,0.0467625899280576,1,0.953237410071942,1
"training","overall",0.0415598925699355,0.0503597122302158,1,0.949640287769784,1
"training","overall",0.0430740068891798,0.0539568345323741,1,0.946043165467626,1
"training","overall",0.0449779093508688,0.0575539568345324,1,0.942446043165468,1
"training","overall",0.0458779063593749,0.0611510791366906,1,0.938848920863309,1
"training","overall",0.04641088425514,0.0647482014388489,1,0.935251798561151,1
"training","overall",0.0466215855769005,0.0683453237410072,1,0.931654676258993,1
"training","overall",0.0481593153645481,0.0719424460431655,1,0.928057553956835,1
"training","overall",0.0495773094747872,0.0755395683453237,1,0.924460431654676,1
"training","overall",0.0497847287418926,0.079136690647482,1,0.920863309352518,1
"training","overall",0.0502298471498785,0.079136690647482,0.996031746031746,0.920863309352518,0.996031746031746
"training","overall",0.0515565384282525,0.0827338129496403,0.996031746031746,0.91726618705036,0.996031746031746
"training","overall",0.0530698389079425,0.0863309352517986,0.996031746031746,0.913669064748201,0.996031746031746
"training","overall",0.0542095667252471,0.0899280575539568,0.996031746031746,0.910071942446043,0.996031746031746
"training","overall",0.0555954156039373,0.0935251798561151,0.996031746031746,0.906474820143885,0.996031746031746
"training","overall",0.0588539108981802,0.0971223021582734,0.996031746031746,0.902877697841727,0.996031746031746
"training","overall",0.0622597936440577,0.100719424460432,0.996031746031746,0.899280575539568,0.996031746031746
